p = 101
a = 1
b = 1
E: y^2 = x^3 + a*x + b (mod p)
Rational points (x, y, z):
(0, 1, 1)
(0, 100, 1)
(3, 43, 1)
(3, 58, 1)
(5, 38, 1)
(5, 63, 1)
(6, 18, 1)
(6, 83, 1)
(8, 4, 1)
(8, 97, 1)
(10, 1, 1)
(10, 100, 1)
(11, 38, 1)
(11, 63, 1)
(12, 23, 1)
(12, 78, 1)
(15, 19, 1)
(15, 82, 1)
(21, 30, 1)
(21, 71, 1)
(23, 24, 1)
(23, 77, 1)
(25, 20, 1)
(25, 81, 1)
(27, 4, 1)
(27, 97, 1)
(28, 8, 1)
(28, 93, 1)
(29, 49, 1)
(29, 52, 1)
(30, 8, 1)
(30, 93, 1)
(32, 28, 1)
(32, 73, 1)
(35, 17, 1)
(35, 84, 1)
(36, 43, 1)
(36, 58, 1)
(38, 13, 1)
(38, 88, 1)
(41, 9, 1)
(41, 92, 1)
(43, 8, 1)
(43, 93, 1)
(46, 25, 1)
(46, 76, 1)
(47, 12, 1)
(47, 89, 1)
(50, 35, 1)
(50, 66, 1)
(55, 36, 1)
(55, 65, 1)
(57, 44, 1)
(57, 57, 1)
(59, 45, 1)
(59, 56, 1)
(60, 27, 1)
(60, 74, 1)
(61, 46, 1)
(61, 55, 1)
(62, 43, 1)
(62, 58, 1)
(64, 35, 1)
(64, 66, 1)
(66, 4, 1)
(66, 97, 1)
(68, 47, 1)
(68, 54, 1)
(72, 5, 1)
(72, 96, 1)
(74, 17, 1)
(74, 84, 1)
(76, 39, 1)
(76, 62, 1)
(79, 21, 1)
(79, 80, 1)
(82, 30, 1)
(82, 71, 1)
(83, 3, 1)
(83, 98, 1)
(84, 11, 1)
(84, 90, 1)
(85, 38, 1)
(85, 63, 1)
(86, 34, 1)
(86, 67, 1)
(87, 24, 1)
(87, 77, 1)
(88, 35, 1)
(88, 66, 1)
(89, 33, 1)
(89, 68, 1)
(91, 1, 1)
(91, 100, 1)
(92, 24, 1)
(92, 77, 1)
(93, 17, 1)
(93, 84, 1)
(95, 48, 1)
(95, 53, 1)
(99, 30, 1)
(99, 71, 1)
(100, 10, 1)
(100, 91, 1)
(0, 1, 0)
Total points (including infinity): 105
